,Регион,Год,Объем_сточных_вод_млн_м3,Инвестиции_норм_%,ВРП_на_душу_руб,Индексы_производства_продукции_СХ_%,Доля_городского_населения_%,Использование_свеж_воды_млн_м3,Индекс_промыш_производства_%,Числ_насел
44,Амурская область,2020,65.81,1.622862897616941,577387.2,104.0,68.0,102.52,95.7,773.7
45,Амурская область,2021,66.51,1.3716704804824196,713306.9,111.2,68.2,107.45,108.9,763.6
46,Амурская область,2022,62.76,0.5810103151958317,794644.1,123.5,68.4,106.35,102.8,756.2
47,Амурская область,2023,60.0,0.3632857715652,1054100.0,94.2,68.5,115.0,97.2,750.1
48,Архангельская область,2000,540.0,3.4748537073826897,25320.1,102.6,75.3,832.0,108.495,1369.1
49,Архангельская область,2001,537.0,3.383954490966074,32037.2,103.6,75.6,828.0,106.45,1350.5
50,Архангельская область,2002,513.0,2.439888718917784,41322.8,99.4,75.3,755.0,103.4,1332.7
51,Архангельская область,2003,477.0,0.6739745053585888,50328.850000000006,99.9,75.0,713.0,106.4,1315.5
52,Архангельская область,2004,454.0,0.8653819262366719,64122.2,99.2,75.5,681.0,106.15,1299.2
53,Архангельская область,2005,464.0,3.0947597298938256,77591.9,100.3,74.0,673.0,105.6,1281.8
54,Архангельская область,2006,464.0,6.360303676985398,100203.4,102.7,74.4,670.0,108.0,1266.7
55,Архангельская область,2007,475.0,1.1063665387060406,128472.55,90.3,74.8,682.0,110.1,1257.2
56,Архангельская область,2008,475.0,1.413140037169753,155716.6,94.2,75.1,654.0,102.2,1246.2
57,Архангельская область,2009,413.0,0.8788487357900131,152408.35,105.6,75.5,609.0,95.5,1237.5
58,Архангельская область,2010,415.0,0.5410313540626728,181042.4,95.6,76.0,633.0,122.0,1224.9
59,Архангельская область,2011,375.0,0.6662877646057245,233445.8,109.0,76.3,639.0,96.5,1204.1
60,Архангельская область,2012,364.27,0.2571541623785128,273874.6,100.3,76.4,622.0,103.7,1183.6
61,Архангельская область,2013,341.03000000000003,1.178798249995641,288957.6,90.8,76.6,600.75,110.0,1163.7
62,Архангельская область,2014,335.86,0.5676242073404735,319673.0,101.4,76.8,597.62,73.1,1146.1
63,Архангельская область,2015,329.79,0.7241126319148394,365908.3,83.8,77.1,569.68,101.9,1127.8
64,Архангельская область,2016,328.66,0.7866972513658078,419090.3,99.2,77.2,562.25,100.6,1110.6
65,Архангельская область,2017,325.0,1.8398127258238288,466062.8,83.9,77.2,556.84,116.3,1091.1
66,Архангельская область,2018,322.78,0.4642245179689781,524584.0,109.3,77.4,551.61,100.9,1071.6
67,Архангельская область,2019,322.87,0.3713506891358725,546989.7,96.3,77.4,536.2199999999999,102.1,1055.5
68,Архангельская область,2020,320.63000000000005,2.5122939583742707,548518.4,101.9,77.5,542.9000000000001,99.1,1037.3
69,Архангельская область,2021,292.68,2.7947193791985683,681214.5,97.9,77.6,531.9,100.9,1016.0
70,Архангельская область,2022,277.51,0.4139685823226184,722234.1,98.9,77.8,494.98,95.5,1005.7
71,Архангельская область,2023,247.0,0.3002124766409625,793300.0,101.5,78.1,500.0,98.8,998.1
72,Астраханская область,2000,84.0,0.1588116248217188,27815.3,108.2,67.9,1322.0,90.2,1009.3
73,Астраханская область,2001,83.0,2.4575838980241245,32037.2,107.2,67.6,1252.0,117.4,1005.5
74,Астраханская область,2002,78.0,0.3960639006315419,40786.8,103.6,67.7,1111.0,100.6,1004.8
75,Астраханская область,2003,71.0,0.6183364324375541,50386.3,102.5,67.9,1190.0,103.5,1006.1
76,Астраханская область,2004,71.0,0.5053331899158716,56357.5,104.9,67.5,971.0,101.2,1006.5
77,Астраханская область,2005,68.0,0.3468876733269069,69814.0,109.1,67.7,937.0,100.8,1002.5
78,Астраханская область,2006,73.0,0.6808150662479249,84950.0,108.2,66.9,938.0,100.9,1001.3
79,Астраханская область,2007,72.0,4.87199379827659,99999.4,108.5,67.7,891.0,111.6,1005.9
80,Астраханская область,2008,73.0,3.0706368253008662,146391.0,115.2,66.6,873.0,110.3,1009.9
81,Астраханская область,2009,71.0,1.5750032361689117,133018.5,118.5,66.7,853.0,93.4,1011.1
82,Астраханская область,2010,69.0,4.490736344010027,143388.8,102.4,66.7,772.0,113.0,1009.8
83,Астраханская область,2011,71.0,2.610222887022453,170798.2,110.5,66.5,1085.0,107.5,1011.5
84,Астраханская область,2012,55.67,11.07260043194896,207683.9,106.1,66.3,849.63,118.7,1007.5
85,Астраханская область,2013,52.4,4.55744522704132,271899.3,100.7,66.2,799.55,115.5,1007.4
86,Астраханская область,2014,50.15,0.362838255894908,293883.9,100.3,65.8,756.6,102.9,1009.2
87,Астраханская область,2015,40.74,0.6130806725348507,320199.0,102.3,65.6,730.88,109.6,1003.9
88,Астраханская область,2016,51.16,0.2330085751022971,367483.2,101.0,65.4,793.75,108.6,1001.5
89,Астраханская область,2017,48.54,0.1660304562403639,442846.1,109.4,65.4,693.21,152.6,997.4
90,Астраханская область,2018,49.09,0.0606667702560383,582565.6,108.7,65.3,695.94,116.3,991.1
91,Астраханская область,2019,36.39,0.3929591207342103,610661.5,101.8,65.1,646.04,103.7,979.9
92,Астраханская область,2020,30.26,0.1381389223619176,541099.0,102.3,64.7,619.95,97.3,969.0
93,Астраханская область,2021,34.13,0.0549019495590795,688988.3,101.7,64.3,576.13,93.9,957.8
94,Астраханская область,2022,35.11,0.1053330637880202,801999.8,106.6,64.1,672.86,100.0,950.6
95,Астраханская область,2023,85.0,0.0246845162316484,820000.0,103.0,63.9,561.0,100.6,946.4
96,Белгородская область,2000,45.0,0.2761829611760092,27969.5,120.3,65.2,354.0,109.1,1507.0
97,Белгородская область,2001,13.0,0.3306096296088647,33126.7,107.7,65.2,346.0,110.1,1508.1
98,Белгородская область,2002,6.0,0.2003608719897956,41327.4,101.7,65.2,368.0,116.0,1511.9
99,Белгородская область,2003,10.0,0.1062422341873261,50271.4,100.1,65.4,394.0,106.2,1513.9
100,Белгородская область,2004,11.0,0.1524168052771933,75629.4,107.1,65.4,361.0,106.3,1511.7
101,Белгородская область,2005,11.0,0.42699385741421,95911.2,114.8,65.6,314.0,112.9,1511.7
102,Белгородская область,2006,11.0,0.4336370767939586,118211.4,113.0,65.8,290.0,113.4,1514.2
103,Белгородская область,2007,8.0,0.3123056807360599,156225.1,122.4,66.0,257.0,111.3,1520.1
104,Белгородская область,2008,11.0,0.5991368658515509,208548.1,127.5,65.8,253.0,112.7,1526.3
105,Белгородская область,2009,49.0,0.2892783295815641,199046.1,108.5,65.9,234.0,103.5,1531.8
106,Белгородская область,2010,77.0,0.3735497465366875,260015.6,98.4,66.2,237.0,113.9,1532.4
107,Белгородская область,2011,72.0,0.6567547088668513,330952.8,132.0,66.2,236.0,108.7,1536.6
108,Белгородская область,2012,70.88,2.162596761385342,354400.6,105.5,66.2,244.04,105.6,1541.9
109,Белгородская область,2013,71.1,1.0654843776801104,368593.1,108.0,66.1,240.98,102.1,1545.5
110,Белгородская область,2014,66.83,0.5574805580384771,400396.8,104.9,66.0,238.93,102.5,1549.8
111,Белгородская область,2015,61.46,1.0299366205572302,447022.6,104.1,65.9,243.66,105.5,1552.4
112,Белгородская область,2016,73.64,0.3117679085503114,500672.6,106.6,65.9,250.06,106.2,1555.5
113,Белгородская область,2017,70.54,0.3345196026116114,538729.8,99.5,65.8,233.24,105.0,1553.0
114,Белгородская область,2018,70.46,0.5549357891236915,587403.9,104.7,65.7,234.32,102.4,1550.9
115,Белгородская область,2019,68.84,0.2486697779152987,615578.9,102.5,65.5,233.65,103.9,1553.0
116,Белгородская область,2020,65.9,0.4672974636602556,643774.4,99.8,65.4,238.45,101.7,1545.5
117,Белгородская область,2021,60.56,0.4231133493376597,882551.8,97.3,65.3,229.03,104.4,1536.5
118,Белгородская область,2022,58.6,0.6692958976157243,859545.1,104.5,65.4,232.1,102.1,1514.5
119,Белгородская область,2023,58.0,1.2979801311889312,889800.0,105.0,65.3,224.0,104.7,1500.7
120,Брянская область,2000,100.0,0.2229155595221192,17413.5,109.3,68.6,150.0,117.3,1407.9
121,Брянская область,2001,99.0,0.1570027532106953,21511.9,94.8,68.8,147.0,112.9,1391.4
122,Брянская область,2002,96.0,0.0231978830259457,27020.0,98.1,68.5,144.0,105.3,1375.0
123,Брянская область,2003,94.0,0.0826447415692798,31953.4,103.5,68.5,135.0,104.5,1360.2
124,Брянская область,2004,92.0,0.044279400981111,37719.1,96.2,68.2,133.0,104.7,1344.1
125,Брянская область,2005,89.0,0.0138636694191083,49923.4,95.6,68.3,130.0,116.1,1327.7
126,Брянская область,2006,96.0,0.0050158099107921,62187.8,100.0,68.6,126.0,111.7,1312.7
127,Брянская область,2007,94.0,,78518.8,106.0,68.8,123.0,121.8,1303.3
128,Брянская область,2008,85.0,0.0191322881501401,96885.4,107.9,68.9,115.0,103.2,1294.3
129,Брянская область,2009,83.0,,98014.5,103.4,69.0,110.0,76.6,1286.5
130,Брянская область,2010,78.0,,114777.6,94.2,69.1,117.0,122.9,1275.3
131,Брянская область,2011,75.0,,137227.5,124.6,69.2,111.0,110.6,1263.7
132,Брянская область,2012,70.83,0.0374498246121578,164867.2,105.6,69.3,105.51,115.7,1252.2
133,Брянская область,2013,67.78,0.1286953970518827,176108.0,112.2,69.4,103.68,96.8,1240.6
134,Брянская область,2014,61.56,0.0029519319189329,196473.1,114.9,69.5,97.82,102.1,1230.3
135,Брянская область,2015,57.6,,221557.6,113.1,69.5,96.29,113.5,1223.1
136,Брянская область,2016,57.92,,259301.1,108.9,69.6,95.13,107.3,1218.0
137,Брянская область,2017,55.12,,281250.4,106.0,69.7,93.95,104.1,1208.2
138,Брянская область,2018,53.78,,305284.8,103.1,69.7,90.02,102.7,1197.1
139,Брянская область,2019,50.75,,334495.9,100.4,69.6,89.58,117.0,1189.2
140,Брянская область,2020,49.69,,349774.4,103.0,69.5,86.92,102.0,1179.1
141,Брянская область,2021,51.4,,411888.4,100.9,69.5,88.41,112.2,1164.6
142,Брянская область,2022,52.06,,474159.6,110.7,69.6,88.72,120.8,1152.5
143,Брянская область,2023,53.0,0.0090978278447597,546400.0,115.9,69.7,93.0,115.8,1142.4
144,Владимирская область,2000,182.0,0.0748671167283002,21073.3,108.0,79.8,222.0,119.47,1558.0
145,Владимирская область,2001,182.0,0.0445647575542953,27170.0,87.4,79.7,211.0,114.7,1539.2
146,Владимирская область,2002,185.0,0.0837718105079636,32923.6,105.8,79.7,221.0,99.42,1520.1
147,Владимирская область,2003,174.0,0.0735302967068164,40809.4,98.7,79.4,205.0,106.15,1509.6
148,Владимирская область,2004,169.0,0.0385853086636031,49353.4,89.0,78.3,197.0,112.0,1497.6
149,Владимирская область,2005,155.0,0.039597914567199,58261.0,108.8,77.2,189.0,101.4,1486.5
150,Владимирская область,2006,147.0,0.0177026755180044,76184.8,99.9,77.3,182.0,109.8,1475.9
151,Владимирская область,2007,141.0,0.1387589235185425,99682.5,101.7,77.4,180.0,122.6,1466.8
152,Владимирская область,2008,140.0,0.0341194225400052,119941.8,93.7,77.5,171.0,112.3,1457.9
153,Владимирская область,2009,129.0,0.0343210748200184,127815.1,106.9,77.5,165.0,84.4,1449.8
154,Владимирская область,2010,129.0,0.0534994785530469,155494.2,77.4,77.7,156.0,114.7,1441.1
155,Владимирская область,2011,126.0,0.1135713372426428,181742.0,123.6,77.6,161.0,107.4,1433.6
156,Владимирская область,2012,123.74,0.208265126813431,200118.5,106.8,77.6,152.71,103.4,1425.0
157,Владимирская область,2013,120.02,0.193181025132288,215705.7,92.0,77.5,145.46,108.0,1418.2
158,Владимирская область,2014,110.49,0.1647796376440952,231824.2,103.8,77.6,142.76,109.2,1412.1
159,Владимирская область,2015,108.55,0.1468515956505645,261560.4,102.4,77.7,133.55,99.8,1405.5
160,Владимирская область,2016,108.81,0.083821920436529,307666.2,97.3,77.8,129.89,104.6,1399.8
161,Владимирская область,2017,104.52,0.1018200988242282,322473.5,93.7,77.8,122.63,103.1,1390.2
162,Владимирская область,2018,98.55,0.0723641422434284,346635.8,101.1,77.9,122.29,104.6,1379.4
163,Владимирская область,2019,94.42,0.2783869978602911,389002.2,102.6,77.8,117.48,113.0,1373.7
164,Владимирская область,2020,95.02,0.0619319665213262,404785.5,102.8,77.7,117.7,111.2,1359.0
165,Владимирская область,2021,94.26,0.0487249030847475,540728.4,97.0,77.6,119.58,108.6,1342.3
166,Владимирская область,2022,91.32,0.018530144637269,585131.4,102.3,77.6,119.52,106.6,1325.5
167,Владимирская область,2023,90.0,0.0069427880373348,678000.0,105.7,77.6,133.0,109.4,1309.9
168,Волгоградская область,2000,217.0,6.770354932245624,23340.8,109.5,74.9,1103.0,108.1,2725.4
169,Волгоградская область,2001,212.0,2.665225513358104,30513.2,117.9,75.1,990.0,102.0,2709.6
170,Волгоградская область,2002,206.0,0.3616903006674257,38617.7,101.6,75.2,960.0,101.2,2694.2
171,Волгоградская область,2003,201.0,0.235336512670441,47934.1,100.4,75.2,886.0,101.3,2672.4
172,Волгоградская область,2004,208.0,0.523656242123603,57928.0,112.9,75.3,887.0,106.0,2656.2
173,Волгоградская область,2005,204.0,0.4084539753050943,76740.6,100.3,75.4,833.0,104.1,2640.4
174,Волгоградская область,2006,217.0,0.7317312775662353,95683.4,101.4,75.4,804.0,102.8,2630.0
175,Волгоградская область,2007,203.0,0.4906961757475432,126313.1,97.7,75.7,827.0,102.4,2623.1
176,Волгоградская область,2008,218.0,0.537572012954832,159001.5,126.5,75.6,823.0,99.9,2618.1
177,Волгоградская область,2009,200.0,0.2077839170595657,144303.4,89.0,75.7,788.0,90.3,2614.1
178,Волгоградская область,2010,186.0,0.304433694593236,166028.8,84.9,76.0,731.0,106.1,2607.5
179,Волгоградская область,2011,150.0,0.3475834489991116,195321.7,127.5,76.1,710.0,103.0,2598.6
180,Волгоградская область,2012,144.43,0.2169147990756516,220267.5,88.8,76.2,608.93,104.8,2590.7
181,Волгоградская область,2013,141.2,0.537252075074382,234934.7,108.9,76.4,583.42,101.5,2580.7
182,Волгоградская область,2014,122.62,2.409746807982448,277632.9,107.1,76.5,582.57,102.4,2572.9
183,Волгоградская область,2015,104.21,2.6761100562084548,288213.6,94.5,76.6,593.77,101.1,2565.4
184,Волгоградская область,2016,104.7,1.454376034491843,322250.5,114.5,76.7,520.41,103.2,2558.5
185,Волгоградская область,2017,89.2,0.4604281236515213,332977.4,102.4,76.9,525.9,104.3,2548.5
186,Волгоградская область,2018,84.29,0.6348681526650289,364763.9,96.3,77.0,552.23,100.9,2538.7
187,Волгоградская область,2019,85.25,0.9163016042949524,380349.9,108.0,77.2,530.43,100.0,2526.2
188,Волгоградская область,2020,91.69,1.1568055565073283,387991.0,101.3,77.3,566.76,99.3,2513.6
189,Волгоградская область,2021,89.21,0.2721868821883043,426400.1,97.5,77.5,564.37,98.4,2492.8
190,Волгоградская область,2022,85.92,0.3309808079148952,491186.6,116.9,77.6,578.17,102.8,2470.1
191,Волгоградская область,2023,203.0,0.3478191648707935,562500.0,100.1,77.7,2395.0,102.5,2453.9
192,Вологодская область,2000,241.0,0.4735862881256729,53432.8,101.6,68.8,711.0,107.71,1290.4
193,Вологодская область,2001,240.0,0.3507465766301415,50934.4,102.3,68.9,642.0,96.88,1278.5
194,Вологодская область,2002,231.0,0.9468283293221142,63433.6,95.3,69.1,655.0,105.64,1266.9
195,Вологодская область,2003,205.0,2.482734818856549,85259.1,95.5,69.3,579.0,103.81,1255.9
196,Вологодская область,2004,195.0,2.5680703637285243,129015.6,90.5,68.3,636.0,106.5,1245.8
197,Вологодская область,2005,172.0,3.944767668164695,156379.7,100.3,68.6,630.0,106.5,1234.9
198,Вологодская область,2006,167.0,1.1877137772161126,164130.2,95.1,69.0,710.0,107.1,1225.8
199,Вологодская область,2007,156.0,1.1302317821056702,199003.0,99.0,69.4,728.0,104.9,1219.8
200,Вологодская область,2008,146.0,1.072161578049017,242347.7,98.5,69.7,712.0,95.3,1214.2
201,Вологодская область,2009,132.0,1.32878501983862,176179.2,97.2,70.0,583.0,90.5,1208.3
202,Вологодская область,2010,152.0,0.3481948705325212,217826.8,89.6,70.8,602.0,111.8,1201.2
203,Вологодская область,2011,157.0,1.407581526979313,269271.0,110.7,71.1,537.0,105.6,1198.4
204,Вологодская область,2012,154.42,1.4807148950734228,296779.7,94.5,71.3,467.32,101.3,1196.0
205,Вологодская область,2013,147.9,3.696805991203474,289860.7,93.3,71.5,481.46,102.5,1193.0
206,Вологодская область,2014,137.38,3.2666484225554133,324906.9,97.9,71.8,481.47,103.7,1190.5
207,Вологодская область,2015,145.08,1.0235010325897431,402818.7,103.7,72.0,392.67,102.6,1187.2
208,Вологодская область,2016,147.1,1.1402726227845807,430233.8,106.2,72.1,354.86,99.8,1183.3
209,Вологодская область,2017,157.41,1.3600624125378644,460014.4,88.9,72.2,226.55,102.4,1176.0
210,Вологодская область,2018,128.84,0.4657412023142456,525527.1,104.5,72.4,251.84,104.6,1166.9
211,Вологодская область,2019,78.45,0.7705186567724388,543954.1,109.4,72.4,247.76,103.9,1159.6
212,Вологодская область,2020,67.44,1.8630147055644195,540722.5,100.1,72.4,217.64,102.3,1150.1
213,Вологодская область,2021,67.31,1.1359403563480246,897094.3,100.1,72.5,212.52,101.0,1138.4
214,Вологодская область,2022,64.71,0.8199047644154396,903488.3,104.4,72.5,213.59,96.6,1128.7
215,Вологодская область,2023,60.0,1.0126963479881967,961600.0,101.7,72.7,219.0,106.2,1121.4
216,Воронежская область,2000,190.0,0.2565565312909524,20365.1,129.0,61.6,695.0,105.4,2422.4
217,Воронежская область,2001,174.0,0.0613000836463127,24905.4,102.0,61.8,686.0,101.1,2397.1
218,Воронежская область,2002,174.0,0.0328000472282897,34789.6,101.3,62.0,651.0,98.7,2374.4
219,Воронежская область,2003,173.0,0.0900551509686619,42237.5,117.5,62.0,617.0,106.3,2367.4
220,Воронежская область,2004,168.0,0.0684595930292087,49530.0,94.0,62.0,582.0,106.9,2364.9
221,Воронежская область,2005,169.0,0.1605030744101579,56534.5,100.7,61.8,556.0,111.0,2360.9
222,Воронежская область,2006,159.0,0.2588467081687242,70492.7,103.1,61.7,535.0,109.0,2353.8
223,Воронежская область,2007,152.0,0.1585455713990141,94849.5,107.0,61.7,519.0,104.9,2344.4
224,Воронежская область,2008,144.0,0.5590280629848738,122591.1,125.9,62.0,498.0,103.6,2339.0
225,Воронежская область,2009,134.0,0.4522439499537831,129112.5,99.5,62.1,457.0,99.4,2334.9
226,Воронежская область,2010,134.0,0.1136176371634789,148432.6,72.7,65.5,460.0,106.6,2334.8
227,Воронежская область,2011,135.0,0.1122534943499,203523.7,163.7,66.0,451.0,110.1,2332.7
228,Воронежская область,2012,131.08,0.0875016446044385,241754.0,104.2,66.4,442.21,129.7,2332.9
229,Воронежская область,2013,128.63,0.2472098363893046,262215.8,109.9,66.8,378.49,106.1,2332.9
230,Воронежская область,2014,121.91,0.5485863977063464,307400.6,101.9,67.1,390.26,108.0,2336.4
231,Воронежская область,2015,117.13,0.4458749808925796,344688.2,99.3,67.3,393.22,103.7,2340.1
232,Воронежская область,2016,121.62,0.2863207044665445,353549.7,104.6,67.5,398.01,104.4,2343.4
233,Воронежская область,2017,119.2,0.4554242392115494,372738.0,102.8,67.8,378.78,106.0,2343.1
234,Воронежская область,2018,118.82,0.7038477027512995,406385.7,101.8,68.1,372.14,103.2,2338.6
235,Воронежская область,2019,119.24,0.1093707934684534,428581.3,107.1,68.3,404.6,111.3,2336.3
236,Воронежская область,2020,118.23,0.1008677926473707,456565.5,99.0,68.3,399.65,109.5,2319.1
237,Воронежская область,2021,117.21,0.0217023658715742,551241.7,97.3,68.5,386.5,105.5,2302.6
238,Воронежская область,2022,121.46,0.0711277519322454,600596.0,112.8,68.5,399.08,98.0,2285.3
239,Воронежская область,2023,131.0,0.0037537425507823,655600.0,103.3,68.5,414.0,109.9,2273.4
240,Еврейская автономная область,2000,11.0,0.1764799154334038,19484.8,107.0,67.0,20.0,114.18,193.2
241,Еврейская автономная область,2001,12.0,1.0729102716699033,24877.5,108.6,67.2,21.0,117.5,191.9
242,Еврейская автономная область,2002,12.0,1.1719529136506543,35766.0,100.6,67.2,21.0,109.7,190.6
243,Еврейская автономная область,2003,12.0,0.6432991616654602,45196.1,105.4,67.6,20.0,108.6,188.4
244,Еврейская автономная область,2004,14.0,0.4142143550383317,60029.9,107.6,67.2,20.0,101.0,185.8
245,Еврейская автономная область,2005,14.0,0.5280691626420354,77319.2,106.3,67.2,21.0,103.0,181.7
246,Еврейская автономная область,2006,14.0,0.9011726224912108,99578.4,101.8,67.2,20.0,104.2,179.4
247,Еврейская автономная область,2007,14.0,2.837632817867243,132505.0,102.3,67.3,20.0,122.7,178.7
248,Еврейская автономная область,2008,13.0,2.18708762564124,134377.5,101.8,67.4,24.0,118.6,178.1
249,Еврейская автономная область,2009,14.0,0.8610588467614535,142388.0,90.2,67.3,25.0,81.2,177.5
250,Еврейская автономная область,2010,15.0,0.9374887105105544,178380.6,107.4,67.8,25.0,102.5,176.3
251,Еврейская автономная область,2011,16.0,0.0992500063344059,225382.9,101.3,68.4,26.0,100.1,173.9
252,Еврейская автономная область,2012,14.65,1.1028191822869389,247338.9,88.2,68.4,23.21,104.1,171.7
253,Еврейская автономная область,2013,14.0,0.3404062588638179,225611.9,64.6,68.7,21.36,102.6,169.0
254,Еврейская автономная область,2014,12.89,0.0363314667410442,250145.1,129.5,69.3,21.79,113.3,166.4
255,Еврейская автономная область,2015,13.58,0.0430914738703798,269785.3,100.2,69.8,18.36,91.3,163.9
256,Еврейская автономная область,2016,13.53,0.5951719614852399,298404.2,78.1,70.1,18.78,90.2,161.6
257,Еврейская автономная область,2017,13.54,2.07860968372295,344645.5,116.1,70.5,14.77,160.4,159.1
258,Еврейская автономная область,2018,10.72,0.4063740202060178,345698.0,105.0,70.8,14.54,114.9,156.7
259,Еврейская автономная область,2019,12.57,,365145.1,54.6,70.8,13.46,102.6,154.7
260,Еврейская автономная область,2020,11.74,,411199.2,119.2,70.7,13.35,102.4,152.6
261,Еврейская автономная область,2021,12.4,0.309193513136568,523964.8,101.2,70.8,14.68,96.9,149.6
262,Еврейская автономная область,2022,11.94,0.355839764391481,543204.8,117.4,70.8,16.13,107.0,147.5
263,Еврейская автономная область,2023,12.0,0.1871608262168188,697100.0,114.1,70.8,19.0,94.3,145.8
264,Забайкальский край,2000,80.0,0.180660525036137,25320.1,89.2,63.6,570.0,101.5,1178.8
265,Забайкальский край,2001,94.0,0.5472748383571624,29979.7,90.3,63.8,519.0,107.3,1165.4
266,Забайкальский край,2002,77.0,0.5063788777218678,38443.3,108.8,63.9,471.0,102.1,1152.6
267,Забайкальский край,2003,75.0,0.433307354338561,46308.5,94.9,64.0,479.0,109.4,1142.7
268,Забайкальский край,2004,84.0,0.3239996212974479,53845.5,95.4,64.0,379.0,92.7,1132.8
269,Забайкальский край,2005,83.0,0.4600094763457488,61741.0,107.3,64.2,406.0,104.0,1123.3
270,Забайкальский край,2006,79.0,0.5503862469842536,81066.2,101.2,64.6,358.0,102.5,1115.1
271,Забайкальский край,2007,85.0,0.4947084704897205,99544.9,101.8,64.9,282.0,103.7,1111.4
